Client version: not initialize
User hash: not initialize
DeviceId hash: not initialize
User gcm token: not initialize
Device params - OS Version: 7.1.1;  Device: Huawei google Nexus 6P ,Build Fingerprint: google/angler/angler:7.1.1/N4F26I/3532671:user/release-keys
01-19 15:27:29.488  3801   754 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 15:27:29.496  3801   754 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 15:27:29.807  3801   751 D Contacts ContactsSynchronizerService.onHandleIntent: MailboxContactsSynchronizer exiting
01-19 15:27:29.808  3801     1 V Contacts ContactsSynchronizerService.onDestroy: entering..
01-19 15:27:30.082  3801     1 I Workspace lz.onActivityStopped( PasscodeActivity, Activity HashCode: 244866990, Task ID: 211 ) STOPPED!
01-19 15:27:30.083  3801     1 D Workspace BaseCommActivity.:onDestroy
01-19 15:27:30.084  3801     1 I Workspace lz.onActivityDestroyed( PasscodeActivity, Activity HashCode: 244866990, Task ID: 211 ) DESTROYED.
01-19 15:27:30.085  3801     1 V Workspace nv.popActivity: removing PasscodeActivity from the stack
01-19 15:27:30.085  3801     1 D Workspace lz.onActivityDestroyed: Active activities: 1
01-19 15:27:30.324  3801   753 I Mail LockableDatabase.DATABASE INFO: VER=73, TABEL(messages)= 0, TABEL(attachments)= 0, TABEL(conversation)= 0, TABEL(pending_commands)= 0, TABEL(headers)= 0, TABEL(messages_content)= 0
01-19 15:27:30.324  3801   753 I Mail LockableDatabase.DATABASE INFO: calculated in 15ms
01-19 15:27:30.328  3801   753 D Mail MessagingController.synchronizeMailboxOnOpen: 3760761183
01-19 15:27:30.330  3801   753 D Mail MessagingController.putCommand: Command sync3760761183 was put in queue, current place: 2
01-19 15:27:30.352  3801   753 D Mail MessagingController.synchronizeMailboxSynchronous: 1 - folder name is 3760761183
01-19 15:27:30.354  3801   755 D Mail MailService.MailService::reschedulePollInBackground() Will wait for KTag... 
01-19 15:27:30.354  3801   755 I Workspace mb.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:27:30.355  3801   755 D Workspace mb.shouldAskForPasscode: Passcode was entered in the past.
01-19 15:27:30.355  3801   755 V Workspace mb.getOrCreateKTagForApp: found entry in cache. Site id=172.24.11.149, appId=-1572556328, entry age=3
01-19 15:27:30.355  3801   755 D AppInfra cur. * Got ktag! container 6FAE75D66EB05C0C13006C6E1FFCA4809A3F192D for id 172.24.11.149
01-19 15:27:30.356  3801   755 D Mail MailService.MailService::reschedulePollInBackground() Got KTag, proceed with reschedulePollInBackground...
01-19 15:27:30.356  3801   755 I Workspace mb.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:27:30.356  3801   755 D Workspace mb.shouldAskForPasscode: Passcode was entered in the past.
01-19 15:27:30.357  3801   755 V Workspace mb.getOrCreateKTagForApp: found entry in cache. Site id=172.24.11.149, appId=-1572556328, entry age=4
01-19 15:27:30.357  3801   755 D AppInfra cur. * Got ktag! container 6FAE75D66EB05C0C13006C6E1FFCA4809A3F192D for id 172.24.11.149
01-19 15:27:30.357  3801   755 D Mail MailService.MailService: No next check scheduled, will cancel pending check
01-19 15:27:30.360  3801   755 D Mail MailService.ACTION_CHECK_MAIL Canceled!
01-19 15:27:30.362  3801   753 D Mail EWSStore.EWSStore::decodeUri:: Initilizing Store...
01-19 15:27:30.415  3801   753 D Mail MessagingController.synchronizeMailboxSynchronous: There are no local messages found, set watermark to null.
01-19 15:27:30.415  3801   753 E Mail LocalStore.setWatermark():: setting watermark NULL!
01-19 15:27:30.439  3801   753 D Mail MessagingController.synchronizeMailboxSynchronous: END
01-19 15:27:30.442  3801   756 D Mail com.fsck.k9.controller.OofController. getOofRequestAsync :: Enter doInBackground
01-19 15:27:30.511  3801   756 V Infrastructure CPConnection.setRequestMethod: called
01-19 15:27:30.513  3801   756 V Infrastructure CPConnection.setRequestMethod: called
01-19 15:27:30.514  3801   756 V Infrastructure CPConnection.getOutputStream: called
01-19 15:27:30.515  3801   756 V Infrastructure CPConnection.prepareConnection: Preparing connection 
01-19 15:27:30.518  3801   756 V Infrastructure CPConnection.prepareConnection: Creating URL: https://172.24.11.149/sslvpn/CPCVPN-Business-Mail/
01-19 15:27:30.518  3801   756 V Infrastructure CPConnection.prepareConnection: Starting connection...	Connect timeout=30000, read timeout=30000
01-19 15:27:30.519  3801   756 D Infrastructure CPConnection.prepareConnection: set Content-Length = 561
01-19 15:27:30.524  3801   756 D Outlook ServiceRequestBase.::emit() will execute request now...
01-19 15:27:30.525  3801   756 D Outlook ServiceRequestBase.::emit() request executed, will get response...
01-19 15:27:30.525  3801   756 V Infrastructure CPConnection.getResponseCode: called
01-19 15:27:30.530  3801   753 V Infrastructure CPConnection.setRequestMethod: called
01-19 15:27:30.531  3801   753 V Infrastructure CPConnection.setRequestMethod: called
01-19 15:27:30.532  3801   753 V Infrastructure CPConnection.getOutputStream: called
01-19 15:27:30.533  3801   753 V Infrastructure CPConnection.prepareConnection: Preparing connection 
01-19 15:27:30.533  3801   753 V Infrastructure CPConnection.prepareConnection: Creating URL: https://172.24.11.149/sslvpn/CPCVPN-Business-Mail/
01-19 15:27:30.534  3801   753 V Infrastructure CPConnection.prepareConnection: Starting connection...	Connect timeout=30000, read timeout=30000
01-19 15:27:30.534  3801   753 D Infrastructure CPConnection.prepareConnection: set Content-Length = 1038
01-19 15:27:30.538  3801   753 D Outlook ServiceRequestBase.::emit() will execute request now...
01-19 15:27:30.538  3801   753 D Outlook ServiceRequestBase.::emit() request executed, will get response...
01-19 15:27:30.539  3801   753 V Infrastructure CPConnection.getResponseCode: called
01-19 15:27:30.576  3801   753 V Infrastructure CPConnection.getResponseCode: response code = 500
01-19 15:27:30.576  3801   756 V Infrastructure CPConnection.getResponseCode: site state = CONNECTED
01-19 15:27:30.576  3801   753 D Outlook HttpClientWebRequest.getResponseCode: code=500 message=Internal Server Error
01-19 15:27:30.576  3801   756 V Infrastructure CPConnection.getResponseCode: response code = 200
01-19 15:27:30.577  3801   753 D Outlook ServiceRequestBase.::emit() got response!
01-19 15:27:30.577  3801   753 V Infrastructure CPConnection.getResponseCode: called
01-19 15:27:30.577  3801   756 D Outlook HttpClientWebRequest.getResponseCode: code=200 message=OK
01-19 15:27:30.577  3801   753 V Infrastructure CPConnection.getResponseCode: response code = 500
01-19 15:27:30.577  3801   756 D Outlook ServiceRequestBase.::emit() got response!
01-19 15:27:30.577  3801   753 D Outlook HttpClientWebRequest.getResponseCode: code=500 message=Internal Server Error
01-19 15:27:30.577  3801   753 V Infrastructure CPConnection.getResponseCode: called
01-19 15:27:30.578  3801   753 V Infrastructure CPConnection.getResponseCode: response code = 500
01-19 15:27:30.578  3801   753 D Outlook HttpClientWebRequest.getResponseCode: code=500 message=Internal Server Error
01-19 15:27:30.578  3801   756 V Infrastructure CPConnection.getInputStream: called
01-19 15:27:30.578  3801   753 V Infrastructure CPConnection.getResponseCode: called
01-19 15:27:30.578  3801   753 V Infrastructure CPConnection.getResponseCode: response code = 500
01-19 15:27:30.578  3801   756 V Infrastructure CPConnection.getHeaderFields: called
01-19 15:27:30.578  3801   753 D Outlook HttpClientWebRequest.getResponseCode: code=500 message=Internal Server Error
01-19 15:27:30.578  3801   753 V Infrastructure CPConnection.getResponseCode: called
01-19 15:27:30.579  3801   753 V Infrastructure CPConnection.getResponseCode: response code = 500
01-19 15:27:30.579  3801   753 D Outlook HttpClientWebRequest.getResponseCode: code=500 message=Internal Server Error
01-19 15:27:30.579  3801   753 V Infrastructure CPConnection.getInputStream: called
01-19 15:27:30.580  3801   753 E Mail EWSStore.Failed to get messages count
microsoft.exchange.webservices.data.EWSHttpException: Connection Error java.io.FileNotFoundException: https://172.24.11.149/sslvpn/CPCVPN-Business-Mail/
	at microsoft.exchange.webservices.data.HttpClientWebRequest.getInputStream(SourceFile:130)
	at microsoft.exchange.webservices.data.ServiceRequestBase.getResponseStream(SourceFile:421)
	at microsoft.exchange.webservices.data.ServiceRequestBase.processWebException(SourceFile:612)
	at microsoft.exchange.webservices.data.ServiceRequestBase.validateAndEmitRequest(SourceFile:788)
	at microsoft.exchange.webservices.data.SimpleServiceRequestBase.validateAndEmitRequestWithRetry(SourceFile:55)
	at microsoft.exchange.webservices.data.SimpleServiceRequestBase.internalExecute(SourceFile:88)
	at microsoft.exchange.webservices.data.MultiResponseServiceRequest.execute(SourceFile:140)
	at microsoft.exchange.webservices.data.ExchangeService.bindToFolder(SourceFile:343)
	at microsoft.exchange.webservices.data.ExchangeService.bindToFolder(SourceFile:367)
	at microsoft.exchange.webservices.data.Folder.bind(SourceFile:50)
	at com.fsck.k9.mail.store.EWSStore$EWSFolder.getMessageCount(SourceFile:2280)
	at com.fsck.k9.controller.MessagingController.synchronizeMailboxSynchronous(SourceFile:2597)
	at com.fsck.k9.controller.MessagingController.access$1800(SourceFile:142)
	at com.fsck.k9.controller.MessagingController$45.run(SourceFile:6827)
	at com.fsck.k9.controller.MessagingController.run(SourceFile:401)
	at java.lang.Thread.run(Thread.java:761)

01-19 15:27:30.583  3801   753 V Mail MessagingController.SYNC: About to get messages 0 through 500 for folder 3760761183
01-19 15:27:30.583  3801   753 D Mail EWSStore.SubscriptionManager::initPullSubscription() #folders=1
01-19 15:27:30.584  3801   753 D Mail EWSStore.SubscriptionManager::initPullSubscription() trying to create old subscription was created, pullSubscriptionId=GAB3aW4taWNsNmw4aHBvYm4uY2FmZS5uZXQQAAAAj5TGtlOmAUS243ZC5ROwOsM/4HVpQNQI, watermark=AQAAAHUJBCLNwUxNpw0SnI3vFKvp/gYAAAAAAAA=
01-19 15:27:30.584  3801   753 D Mail EWSStore.SubscriptionManager::initPullSubscription() old subscription was created, pullSubscriptionId=GAB3aW4taWNsNmw4aHBvYm4uY2FmZS5uZXQQAAAAj5TGtlOmAUS243ZC5ROwOsM/4HVpQNQI, watermark=AQAAAHUJBCLNwUxNpw0SnI3vFKvp/gYAAAAAAAA=
01-19 15:27:30.591  3801   753 V Infrastructure CPConnection.setRequestMethod: called
01-19 15:27:30.592  3801   753 V Infrastructure CPConnection.setRequestMethod: called
01-19 15:27:30.592  3801   753 V Infrastructure CPConnection.getOutputStream: called
01-19 15:27:30.593  3801   753 V Infrastructure CPConnection.prepareConnection: Preparing connection 
01-19 15:27:30.594  3801   753 V Infrastructure CPConnection.prepareConnection: Creating URL: https://172.24.11.149/sslvpn/CPCVPN-Business-Mail/
01-19 15:27:30.594  3801   753 V Infrastructure CPConnection.prepareConnection: Starting connection...	Connect timeout=30000, read timeout=30000
01-19 15:27:30.594  3801   753 D Infrastructure CPConnection.prepareConnection: set Content-Length = 1339
01-19 15:27:30.608  3801   753 V Infrastructure CPConnection.MyHostnameVerifier::verify: Session: eadfa10c78cbdc49, hostname = 172.24.11.149
01-19 15:27:30.609  3801   753 V Infrastructure CPConnection.MyHostnameVerifier::verify: Session: eadfa10c78cbdc49, hostname = 172.24.11.149
01-19 15:27:30.612  3801   753 D Outlook ServiceRequestBase.::emit() will execute request now...
01-19 15:27:30.613  3801   753 D Outlook ServiceRequestBase.::emit() request executed, will get response...
01-19 15:27:30.613  3801   753 V Infrastructure CPConnection.getResponseCode: called
01-19 15:27:30.645  3801     1 D Mail com.fsck.k9.controller.OofController.OofController :: CheckIfOofEnable() 
01-19 15:27:30.646  3801     1 D Mail com.fsck.k9.controller.OofController.OofController :: CheckIfOofEnable() state is Disabled
01-19 15:27:30.647  3801     1 D Mail com.fsck.k9.controller.OofController.OofController::FinishOnPostExecute()==== failed to send broadcast, no receivers found!
01-19 15:27:30.661  3801   753 V Infrastructure CPConnection.getResponseCode: site state = CONNECTED
01-19 15:27:30.661  3801   753 V Infrastructure CPConnection.getResponseCode: response code = 200
01-19 15:27:30.662  3801   753 D Outlook HttpClientWebRequest.getResponseCode: code=200 message=OK
01-19 15:27:30.662  3801   753 D Outlook ServiceRequestBase.::emit() got response!
01-19 15:27:30.662  3801   753 V Infrastructure CPConnection.getInputStream: called
01-19 15:27:30.663  3801   753 V Infrastructure CPConnection.getHeaderFields: called
01-19 15:27:33.530  3801     1 I Workspace AppListScreen.onPause()
01-19 15:27:33.532  3801     1 I Workspace lz.onActivityPaused( AppListScreen, Activity HashCode: 245981833, Task ID: 212 ) PAUSED.
01-19 15:27:33.532  3801     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 15:27:33.545  3801     1 I Mail CpMailCleaner.setCleanDone: false
01-19 15:27:33.545  3801     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 15:27:33.556  3801     1 I Calendar CpCalendarCleaner.setCleanDone: false
01-19 15:27:33.557  3801     1 V Contacts akb.setCleanDone(false)
01-19 15:27:33.559  3801     1 I AppInfra cvg.setAlarm: cp.mobile.infra.CpCleanerService.CLEANUP_ALARM was set for Thu Jan 19 21:27:33 GMT+02:00 2017
01-19 15:27:33.569  3801     1 I Workspace lz.onActivityCreated( WrappedStoreListActivity, Activity HashCode: 71528397, Task ID: 212, null ) CREATED.
01-19 15:27:33.570  3801     1 I Workspace lz.checkIfPasscodeIsNeeded( WrappedStoreListActivity, configurationChange = false ):
01-19 15:27:33.570  3801     1 D Workspace AppManager.::isPasscodeNeeded: Passcode is needed = false
01-19 15:27:33.570  3801     1 D Workspace lz.checkIfPasscodeIsNeeded: Passcode is not needed.
01-19 15:27:33.570  3801     1 I Workspace mb.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:27:33.570  3801     1 D Workspace mb.shouldAskForPasscode: Passcode was entered in the past.
01-19 15:27:33.571  3801     1 V Workspace mb.getOrCreateKTagForApp: found entry in cache. Site id=172.24.11.149, appId=-1047860588, entry age=1
01-19 15:27:33.572  3801     1 D AppInfra cwj.getKey: * Got ktag! C1142DDBA9DC384BC7562D0FDE020597F53096EF
01-19 15:27:33.604  3801     1 D Dashboard WrappedStoreListActivity.setLoaderVisibility: visibility = true
01-19 15:27:33.606  3801     1 I Workspace lz.onActivityStarted( WrappedStoreListActivity, Activity HashCode: 71528397, Task ID: 212 ) STARTED!
01-19 15:27:33.609  3801     1 D Dashboard WrappedStoreListActivity.onResume()
01-19 15:27:33.609  3801     1 I Workspace lz.onActivityResumed( WrappedStoreListActivity, Activity HashCode: 71528397, Task ID: 212 ) RESUMED.
01-19 15:27:33.610  3801     1 D Workspace nv.setCurrentActivity: Setting current activity to: WrappedStoreListActivity
01-19 15:27:33.610  3801     1 D Workspace lz.onActivityResumed: Active activities: 2
01-19 15:27:33.610  3801     1 W Workspace AlarmCenter.descheduleAlarm: failed to find a pending intent for alarm id = 3003
01-19 15:27:33.610  3801     1 I Workspace mb.appFrameworkRecovery: Starting.
01-19 15:27:33.610  3801     1 D Workspace AppManager.::isPasscodeNeeded: Passcode is needed = false
01-19 15:27:33.612  3801     1 I AppInfra cvg.cancelAlarm: Canceled alarm for intent cp.mobile.infra.CpCleanerService.CLEANUP_ALARM
01-19 15:27:33.614  3801     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 15:27:33.615  3801     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 15:27:33.615  3801     1 I Mail CpMailCleaner.checkIfCleanNeeded: not needed!  Next clean set for Thu Jan 19 20:48:28 GMT+02:00 2017
01-19 15:27:33.615  3801     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 15:27:33.616  3801     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 15:27:33.616  3801     1 I Calendar CpCalendarCleaner.checkIfCleanNeeded: not needed!  Next clean set for Thu Jan 19 20:48:17 GMT+02:00 2017
01-19 15:27:33.618  3801     1 I Workspace mb.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:27:33.618  3801     1 D Workspace mb.shouldAskForPasscode: Passcode was entered in the past.
01-19 15:27:33.618  3801     1 V Workspace mb.getOrCreateKTagForApp: found entry in cache. Site id=172.24.11.149, appId=-1047860588, entry age=2
01-19 15:27:33.618  3801     1 D AppInfra cwj.getKey: * Got ktag! C1142DDBA9DC384BC7562D0FDE020597F53096EF
01-19 15:27:33.618  3801     1 D Dashboard WrappedStoreListActivity.setLoaderVisibility: visibility = true
01-19 15:27:33.619  3801     1 D Dashboard WrappedStoreListActivity.initLayouts: intent = Intent { cmp=com.CheckPoint.SSLVpn/com.CheckPoint.dashboard.ui.activity.WrappedStoreListActivity } ,  pull = true
01-19 15:27:33.621  3801     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 15:27:33.623  3801     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 15:27:33.624  3801     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 15:27:33.625  3801     1 I Dashboard WrappedStoreListActivity.WrapToken isManuallyEnrolled: true
01-19 15:27:33.625  3801     1 D Dashboard WrappedStoreListActivity.setLoaderVisibility: visibility = true
01-19 15:27:33.627  3801     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 15:27:33.628  3801     1 I Workspace mb.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:27:33.628  3801     1 D Workspace mb.shouldAskForPasscode: Passcode was entered in the past.
01-19 15:27:33.629  3801     1 V Workspace mb.getOrCreateKTagForApp: found entry in cache. Site id=172.24.11.149, appId=-1047860588, entry age=3
01-19 15:27:33.629  3801     1 D AppInfra cwj.getKey: * Got ktag! C1142DDBA9DC384BC7562D0FDE020597F53096EF
01-19 15:27:33.676  3801   757 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 15:27:33.679  3801     1 I Workspace mb.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:27:33.680  3801     1 D Workspace mb.shouldAskForPasscode: Passcode was entered in the past.
01-19 15:27:33.679  3801   758 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 15:27:33.680  3801     1 V Workspace mb.getOrCreateKTagForApp: found entry in cache. Site id=172.24.11.149, appId=-1047860588, entry age=4
01-19 15:27:33.680  3801     1 D AppInfra cwj.getKey: * Got ktag! C1142DDBA9DC384BC7562D0FDE020597F53096EF
01-19 15:27:33.680  3801     1 I Workspace mb.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:27:33.680  3801     1 D Workspace mb.shouldAskForPasscode: Passcode was entered in the past.
01-19 15:27:33.681  3801     1 V Workspace mb.getOrCreateKTagForApp: found entry in cache. Site id=172.24.11.149, appId=-1047860588, entry age=5
01-19 15:27:33.681  3801     1 D AppInfra cwj.getKey: * Got ktag! C1142DDBA9DC384BC7562D0FDE020597F53096EF
01-19 15:27:33.681  3801   757 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 15:27:33.683  3801     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 15:27:33.686  3801   757 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 15:27:33.690  3801   757 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 15:27:33.717  3801   757 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 15:27:33.721  3801   757 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 15:27:33.731  3801     1 D Dashboard WrappedStoreListActivity.onReceive: action ze.action.FILL_UI
01-19 15:27:33.732  3801     1 D Dashboard WrappedStoreListActivity.Got 2 UI items
01-19 15:27:33.732  3801     1 D Dashboard WrappedStoreListActivity.setLoaderVisibility: visibility = false
01-19 15:27:33.750  3801   622 D Workspace BaseCommActivity.********** finalize: class com.CheckPoint.SSLVpn.UI.Passcode.PasscodeActivity **********
01-19 15:27:34.093  3801     1 I Workspace lz.onActivitySaveInstanceState( AppListScreen, outState ).
01-19 15:27:34.096  3801     1 I Workspace lz.onActivityStopped( AppListScreen, Activity HashCode: 245981833, Task ID: 212 ) STOPPED!
01-19 15:27:37.402  3801     1 D Dashboard WrappedStoreListActivity.onPause: Enter
01-19 15:27:37.404  3801     1 I Workspace lz.onActivityPaused( WrappedStoreListActivity, Activity HashCode: 71528397, Task ID: 212 ) PAUSED.
01-19 15:27:37.404  3801     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 15:27:37.419  3801     1 I Mail CpMailCleaner.setCleanDone: false
01-19 15:27:37.419  3801     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 15:28:30.046  4400     1 D Calendar EmailProvider.onCreate()
01-19 15:28:30.050  4400     1 D Calendar EmailProvider.startInitializer: EmailProviderInitializer thread started!
01-19 15:28:30.052  4400   639 D Calendar EmailProvider.startInitializer: Waiting for next command...
01-19 15:28:30.056  4400   639 D Calendar EmailProvider.startInitializer: Running  command 'first-initialization', seq=0
01-19 15:28:30.059  4400   639 D Calendar EmailProvider.initializeProvider: Waiting for key
01-19 15:28:30.064  4400   639 E AppInfra CpLocker.siteManager == null
01-19 15:28:30.072  4400     1 D Calendar CalendarProvider2.startInitializer: EmailProviderInitializer thread started!
01-19 15:28:30.074  4400     1 D Calendar CalendarProvider2.onCreate: initializing provider...
01-19 15:28:30.074  4400   640 D Calendar CalendarProvider2.startInitializer:run() Waiting for next command...
01-19 15:28:30.080  4400     1 D Workspace AppManager.::onCreate(): Application
01-19 15:28:30.082  4400     1 D Workspace AppManager.enableStrictMode: enabled!
01-19 15:28:30.081  4400   640 D Calendar CalendarProvider2.startInitializer:run() Running  command 'first-init', seq=0
01-19 15:28:30.085  4400   640 D Calendar CalendarProvider2.postInitialize: Waiting for key...
01-19 15:28:30.105  4400     1 D Workspace AppFramework.Constructor:
01-19 15:28:30.106  4400     1 D Workspace AppFramework.getAFDefaultKey: Generating default key
01-19 15:28:30.104  4400   640 E AppInfra CpLocker.siteManager == null
01-19 15:28:30.119  4400     1 D Workspace EncryptionHelper.createKTag: Creating kTag.
01-19 15:28:30.237  4400     1 D Workspace SecureStorage.setKey(): got key with hash = 4A85FF0FA1477564D6B10F4DC607F9E6FD725567, with length = 32
01-19 15:28:30.245  4400     1 V Workspace SDServiceConnector.startService: called
01-19 15:28:30.266  4400     1 V Workspace SDServiceConnector.bindService: called
01-19 15:28:30.272  4400     1 D Workspace UIManager.UIManager: Constructor.
01-19 15:28:30.282  4400     1 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 15:28:30.334  4400     1 D Workspace SecureStorage.getFromConfigurationFile: Decrypt value is null for key=test_configuration.
01-19 15:28:30.335  4400     1 D Workspace SecureStorage.getString: Failed to get value for key: test_configuration
01-19 15:28:30.336  4400     1 I Workspace AppFramework.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:28:30.339  4400     1 D Workspace SessionManager.init(): called
01-19 15:28:30.355  4400     1 V Workspace AppManager.AppManager.getAppVersion: 7.1.04.debug
01-19 15:28:30.357  4400     1 D Workspace AppManager.isApplicationUpdated: Current version: 7.1.04.debug Previous version: 7.0.43
01-19 15:28:30.356  4400   646 D Workspace SessionManager.startStateMachine(): state = UNKNOWN
01-19 15:28:30.359  4400     1 D Workspace AppManager.isApplicationUpdated: Application updated, return true!
01-19 15:28:30.360  4400     1 W Workspace AppManager.runUpdateCodeIfNeeded(): Application updated! Run update code!
01-19 15:28:30.360  4400   646 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 15:28:30.362  4400     1 D Workspace AppManager.runUpdateCodeIfNeeded(): Client version: 7.1.04.debugDevice params - OS Version: 7.1.1;  Device: Huawei google Nexus 6P ,Build Fingerprint: google/angler/angler:7.1.1/N4F26I/3532671:user/release-keys

01-19 15:28:30.363  4400     1 I Workspace UpdateCode.runUpdateCode: Starting to run update code!
01-19 15:28:30.364  4400   646 D Workspace SecureStorage.getFromConfigurationFile: Decrypt value is null for key=test_configuration.
01-19 15:28:30.366  4400   646 D Workspace SecureStorage.getString: Failed to get value for key: test_configuration
01-19 15:28:30.369  4400     1 I Workspace Pa()
01-19 15:28:30.369  4400   646 I Workspace AppFramework.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:28:30.371  4400   646 D Workspace AppFramework.shouldAskForPasscode: Passcode was not entered in the past.
01-19 15:28:30.371  4400     1 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 15:28:30.372  4400   646 D Workspace AppManager.::setPasscodeNeeded: SessionManager is setting passcode needed to = true
01-19 15:28:30.373  4400   646 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 15:28:30.374  4400     1 D Workspace SecureStorage.getFromConfigurationFile: Decrypt value is null for key=test_configuration.
01-19 15:28:30.376  4400     1 D Workspace SecureStorage.getString: Failed to get value for key: test_configuration
01-19 15:28:30.376  4400   646 D Workspace SecureStorage.getFromConfigurationFile: Decrypt value is null for key=test_configuration.
01-19 15:28:30.377  4400     1 I Workspace AppFramework.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:28:30.377  4400   646 D Workspace SecureStorage.getString: Failed to get value for key: test_configuration
01-19 15:28:30.378  4400   646 I Workspace AppFramework.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:28:30.379  4400     1 I Workspace UpdateCode.runUpdateCode: Finished running phase_0
01-19 15:28:30.380  4400   646 W Workspace SiteManager.Debug:[ getActiveSite - @305 ] SiteList - not null, ActiveSite - null
01-19 15:28:30.380  4400     1 I AppInfra PRNGFixes.applyOpenSSLFix: No need to apply fix.
01-19 15:28:30.381  4400   646 D Workspace AppFramework.shouldAskForPasscode: Passcode was not entered in the past.
01-19 15:28:30.381  4400     1 D Workspace SyncController.Ctor - SyncController
01-19 15:28:30.382  4400   646 D Workspace SessionManager.keyRetrievalFlow(): Started
01-19 15:28:30.386  4400   648 V Workspace SDServiceConnector.startService: called
01-19 15:28:30.390  4400   646 D Workspace SessionManager.Debug:[ keyRetrievalFlow - @616 ] Timeout set 30000
01-19 15:28:30.389  4400   649 D Workspace SessionManager.No key in sp
01-19 15:28:30.391  4400   648 V Workspace SDServiceConnector.bindService: called
01-19 15:28:30.396  4400     1 D Workspace AppManager.UpdateReceiver: registerReceiver action: com.CheckPoint.SSLVpn.action.upgradeFinished
01-19 15:28:30.398  4400     1 D Workspace AppManager.DeviceId hash: 7ebb3698-f2f5-430e-8220-8f7cede404a7
01-19 15:28:30.397  4400   648 D Workspace SessionManagerHelper.tryToGetTag: SDS connector isn't connected
01-19 15:28:30.399  4400     1 D Workspace AppManager.Client version: 7.1.04.debug
01-19 15:28:30.400  4400     1 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 15:28:30.403  4400     1 D Workspace SecureStorage.getFromConfigurationFile: Decrypt value is null for key=test_configuration.
01-19 15:28:30.404  4400     1 D Workspace SecureStorage.getString: Failed to get value for key: test_configuration
01-19 15:28:30.406  4400     1 I Workspace AppFramework.isApplicationProtectedByPasscode: Application is protected by passcode.
01-19 15:28:30.407  4400     1 D Workspace AppFramework.shouldAskForPasscode: Passcode was not entered in the past.
